Energy (eV)	DOS (m^-2)
0.61284012486712999519455	2E+12
0.61484012486712999519455	2E+12
0.61684012486712999519455	4E+12
0.61884012486712999519455	0E+12
0.62084012486712999519455	0E+12
0.62284012486712999519455	2E+12
0.6248401248671299951945	2E+12
0.6268401248671299951945	0E+12
0.6288401248671299951945	0E+12
0.6308401248671299951945	0E+12
0.6328401248671299951945	6E+12
0.6348401248671299951945	0E+12
0.6368401248671299951945	0E+12
0.6388401248671299951945	0E+12
0.6408401248671299951945	0E+12
0.6428401248671299951945	0E+12
0.6448401248671299951945	0E+12
0.6468401248671299951945	0E+12
0.6488401248671299951945	0E+12
0.6508401248671299951945	0E+12
0.6528401248671299951945	0E+12
0.6548401248671299951945	0E+12
0.6568401248671299951945	0E+12
0.6588401248671299951945	0E+12
0.6608401248671299951945	0E+12
0.6628401248671299951945	0E+12
0.6648401248671299951945	0E+12
0.6668401248671299951945	4E+12
0.6688401248671299951945	0E+12
0.6708401248671299951945	0E+12
0.6728401248671299951945	0E+12
0.6748401248671299951945	0E+12
0.6768401248671299951945	0E+12
0.6788401248671299951945	4E+12
0.6808401248671299951945	0E+12
0.6828401248671299951945	4E+12
0.6848401248671299951945	0E+12
0.6868401248671299951945	0E+12
0.6888401248671299951945	0E+12
0.6908401248671299951945	0E+12
0.6928401248671299951945	0E+12
0.6948401248671299951945	0E+12
0.6968401248671299951945	0E+12
0.6988401248671299951945	2E+12
0.7008401248671299951945	0E+12
0.7028401248671299951945	0E+12
0.7048401248671299951945	0E+12
0.7068401248671299951945	0E+12
0.7088401248671299951945	2E+12
0.7108401248671299951945	0E+12
0.7128401248671299951945	0E+12
0.7148401248671299951945	6E+12
0.7168401248671299951945	2E+12
0.7188401248671299951945	2E+12
0.7208401248671299951945	6E+12
0.7228401248671299951945	2E+12
0.7248401248671299951945	2E+12
0.7268401248671299951945	2E+12
0.7288401248671299951945	0E+12
0.7308401248671299951945	2E+12
0.7328401248671299951945	2E+12
0.7348401248671299951945	2E+12
0.7368401248671299951945	4E+12
0.7388401248671299951945	6E+12
0.7408401248671299951945	4E+12
0.7428401248671299951945	2E+12
0.7448401248671299951945	1.8E+13
0.7468401248671299951945	8E+12
0.7488401248671299951945	4E+12
0.7508401248671299951945	2E+12
0.7528401248671299951945	8E+12
0.7548401248671299951945	6E+12
0.7568401248671299951945	4E+12
0.7588401248671299951945	6E+12
0.7608401248671299951945	4E+12
0.7628401248671299951945	1.2E+13
0.7648401248671299951945	1.0E+13
0.7668401248671299951945	8E+12
0.7688401248671299951945	1.2E+13
0.7708401248671299951945	0E+12
0.7728401248671299951945	6E+12
0.7748401248671299951945	6E+12
0.7768401248671299951945	1.4E+13
0.7788401248671299951945	6E+12
0.7808401248671299951945	1.4E+13
0.7828401248671299951945	1.6E+13
0.7848401248671299951945	2E+12
0.7868401248671299951945	1.0E+13
0.7888401248671299951945	1.0E+13
0.7908401248671299951945	1.0E+13
0.7928401248671299951945	6E+12
0.7948401248671299951945	1.6E+13
0.7968401248671299951945	1.4E+13
0.7988401248671299951945	2.8E+13
0.8008401248671299951945	1.4E+13
0.8028401248671299951945	4E+12
0.8048401248671299951945	2.4E+13
0.8068401248671299951945	8E+12
0.8088401248671299951945	2.2E+13
0.8108401248671299951945	1.2E+13
0.8128401248671299951945	2.2E+13
0.8148401248671299951945	2.0E+13
0.8168401248671299951945	2E+12
0.8188401248671299951945	1.4E+13
0.8208401248671299951945	1.6E+13
0.8228401248671299951945	2.4E+13
0.8248401248671299951945	2.8E+13
0.8268401248671299951945	1.4E+13
0.8288401248671299951945	2.0E+13
0.8308401248671299951945	1.8E+13
0.8328401248671299951945	1.2E+13
0.8348401248671299951945	2.8E+13
0.8368401248671299951945	1.0E+13
0.8388401248671299951945	1.2E+13
0.8408401248671299951945	2.0E+13
0.8428401248671299951945	1.2E+13
0.8448401248671299951945	1.8E+13
0.8468401248671299951945	2.6E+13
0.8488401248671299951945	1.8E+13
0.8508401248671299951945	2.6E+13
0.8528401248671299951945	1.6E+13
0.8548401248671299951945	1.2E+13
0.8568401248671299951945	2.0E+13
0.8588401248671299951945	1.2E+13
0.8608401248671299951945	2.0E+13
0.8628401248671299951945	2.6E+13
0.8648401248671299951945	3.4E+13
0.8668401248671299951945	2.4E+13
0.8688401248671299951945	3.8E+13
0.8708401248671299951945	2.2E+13
0.8728401248671299951945	4.0E+13
0.8748401248671299951945	2.8E+13
0.8768401248671299951945	1.8E+13
0.8788401248671299951945	3.6E+13
0.8808401248671299951945	3.4E+13
0.8828401248671299951945	2.4E+13
0.8848401248671299951945	6E+12
0.8868401248671299951945	1.2E+13
0.8888401248671299951945	2.8E+13
0.8908401248671299951945	3.2E+13
0.8928401248671299951945	2.2E+13
0.8948401248671299951945	3.8E+13
0.8968401248671299951945	2.4E+13
0.8988401248671299951945	1.4E+13
0.9008401248671299951945	3.0E+13
0.9028401248671299951945	1.6E+13
0.9048401248671299951945	4.4E+13
0.9068401248671299951945	2.8E+13
