Energy (eV)	Intensity
0.6128	0.08163265306122448979591836734693878
0.6148	0.09523809523809523809523809523809524
0.6168	0.1496598639455782312925170068027211
0.6188	0
0.6208	0
0.6228	0.08163265306122448979591836734693878
0.6248	0.07482993197278911564625850340136054
0.6268	0
0.6288	0
0.6308	0
0.6328	0.2380952380952380952380952380952381
0.6348	0
0.6368	0
0.6388	0
0.6408	0
0.6428	0
0.6448	0
0.6468	0
0.6488	0
0.6508	0
0.6528	0
0.6548	0
0.6568	0
0.6588	0
0.6608	0
0.6628	0
0.6648	0
0.6668	0.05442176870748299319727891156462585
0.6688	0
0.6708	0
0.6728	0
0.6748	0
0.6768	0
0.6788	0.01360544217687074829931972789115646
0.6808	0
0.6828	0
0.6848	0
0.6868	0
0.6888	0
0.6908	0
0.6928	0
0.6948	0
0.6968	0
0.6988	0.01360544217687074829931972789115646
0.7008	0
0.7028	0
0.7048	0
0.7068	0
0.7088	0.06122448979591836734693877551020408
0.7108	0
0.7128	0
0.7148	0.06802721088435374149659863945578231
0.7168	0
0.7188	0.06802721088435374149659863945578231
0.7208	0.07482993197278911564625850340136054
0.7228	0.1496598639455782312925170068027211
0.7248	0.05442176870748299319727891156462585
0.7268	0.06802721088435374149659863945578231
0.7288	0
0.7308	0.07482993197278911564625850340136054
0.7328	0.04761904761904761904761904761904762
0.7348	0.02040816326530612244897959183673469
0.7368	0.06122448979591836734693877551020408
0.7388	0.1428571428571428571428571428571429
0.7408	0.07482993197278911564625850340136054
0.7428	0.09523809523809523809523809523809524
0.7448	0.2653061224489795918367346938775510
0.7468	0.3061224489795918367346938775510204
0.7488	0.1292517006802721088435374149659864
0.7508	0.04761904761904761904761904761904762
0.7528	0.1632653061224489795918367346938776
0.7548	0.1972789115646258503401360544217687
0.7568	0.1292517006802721088435374149659864
0.7588	0.4965986394557823129251700680272109
0.7608	0.06122448979591836734693877551020408
0.7628	0.1360544217687074829931972789115646
0.7648	0.3061224489795918367346938775510204
0.7668	0.1700680272108843537414965986394558
0.7688	0.4013605442176870748299319727891156
0.7708	0
0.7728	0.2585034013605442176870748299319728
0.7748	0.1428571428571428571428571428571429
0.7768	0.1632653061224489795918367346938776
0.7788	0.3333333333333333333333333333333333
0.7808	0.6870748299319727891156462585034014
0.7828	0.5306122448979591836734693877551020
0.7848	0.01360544217687074829931972789115646
0.7868	0.6598639455782312925170068027210884
0.7888	0.3469387755102040816326530612244898
0.7908	0.6530612244897959183673469387755102
0.7928	0.2789115646258503401360544217687075
0.7948	0.4693877551020408163265306122448980
0.7968	0.4149659863945578231292517006802721
0.7988	1
0.8008	0.5918367346938775510204081632653061
0.8028	0.1428571428571428571428571428571429
0.8048	0.4557823129251700680272108843537415
0.8068	0.2789115646258503401360544217687075
0.8088	0.2721088435374149659863945578231293
0.8108	0.3877551020408163265306122448979592
0.8128	0.3469387755102040816326530612244898
0.8148	0.2721088435374149659863945578231293
0.8168	0.08843537414965986394557823129251701
0.8188	0.4829931972789115646258503401360544
0.8208	0.4557823129251700680272108843537415
0.8228	0.4081632653061224489795918367346939
0.8248	0.3877551020408163265306122448979592
0.8268	0.2517006802721088435374149659863946
0.8288	0.5782312925170068027210884353741497
0.8308	0.2244897959183673469387755102040816
0.8328	0.3537414965986394557823129251700680
0.8348	0.4965986394557823129251700680272109
0.8368	0.1496598639455782312925170068027211
0.8388	0.1564625850340136054421768707482993
0.8408	0.6802721088435374149659863945578231
0.8428	0.006802721088435374149659863945578231
0.8448	0.2312925170068027210884353741496599
0.8468	0.4557823129251700680272108843537415
0.8488	0.5986394557823129251700680272108844
0.8508	0.4353741496598639455782312925170068
0.8528	0.4489795918367346938775510204081633
0.8548	0.2380952380952380952380952380952381
0.8568	0.3469387755102040816326530612244898
0.8588	0.1564625850340136054421768707482993
0.8608	0.1836734693877551020408163265306122
0.8628	0.3061224489795918367346938775510204
0.8648	0.5918367346938775510204081632653061
0.8668	0.2312925170068027210884353741496599
0.8688	0.3945578231292517006802721088435374
0.8708	0.4353741496598639455782312925170068
0.8728	0.5238095238095238095238095238095238
0.8748	0.2380952380952380952380952380952381
0.8768	0.06122448979591836734693877551020408
0.8788	0.5034013605442176870748299319727891
0.8808	0.6598639455782312925170068027210884
0.8828	0.2925170068027210884353741496598639
0.8848	0.2857142857142857142857142857142857
0.8868	0.05442176870748299319727891156462585
0.8888	0.1632653061224489795918367346938776
0.8908	0.2312925170068027210884353741496599
0.8928	0.2040816326530612244897959183673469
0.8948	0.3129251700680272108843537414965986
0.8968	0.1088435374149659863945578231292517
0.8988	0.3673469387755102040816326530612245
0.9008	0.4149659863945578231292517006802721
0.9028	0.1496598639455782312925170068027211
0.9048	0.09523809523809523809523809523809524
0.9068	0.3469387755102040816326530612244898
0.9088	0.09523809523809523809523809523809524
0.9108	0.08843537414965986394557823129251701
0.9128	0.2312925170068027210884353741496599
0.9148	0.1972789115646258503401360544217687
0.9168	0.1768707482993197278911564625850340
0.9188	0.02040816326530612244897959183673469
0.9208	0.2108843537414965986394557823129252
0.9228	0.3061224489795918367346938775510204
0.9248	0.3061224489795918367346938775510204
0.9268	0.1428571428571428571428571428571429
0.9288	0.1564625850340136054421768707482993
0.9308	0.4217687074829931972789115646258503
0.9328	0.1700680272108843537414965986394558
0.9348	0.04761904761904761904761904761904762
0.9368	0.07482993197278911564625850340136054
0.9388	0.1088435374149659863945578231292517
0.9408	0.07482993197278911564625850340136054
0.9428	0.1632653061224489795918367346938776
0.9448	0.1156462585034013605442176870748299
0.9468	0.01360544217687074829931972789115646
0.9488	0.2925170068027210884353741496598639
0.9508	0.06122448979591836734693877551020408
0.9528	0.08163265306122448979591836734693878
0.9548	0.08163265306122448979591836734693878
0.9568	0.08163265306122448979591836734693878
0.9588	0.1564625850340136054421768707482993
0.9608	0.02721088435374149659863945578231293
0.9628	0.1360544217687074829931972789115646
0.9648	0
0.9668	0.04081632653061224489795918367346939
0.9688	0.06122448979591836734693877551020408
0.9708	0.02040816326530612244897959183673469
0.9728	0.06122448979591836734693877551020408
0.9748	0.08843537414965986394557823129251701
0.9768	0.1700680272108843537414965986394558
0.9788	0.1020408163265306122448979591836735
0.9808	0.05442176870748299319727891156462585
0.9828	0.1020408163265306122448979591836735
0.9848	0.05442176870748299319727891156462585
0.9868	0.04761904761904761904761904761904762
0.9888	0.03401360544217687074829931972789116
0.9908	0.04761904761904761904761904761904762
0.9928	0.1156462585034013605442176870748299
0.9948	0.1156462585034013605442176870748299
0.9968	0
0.9988	0.006802721088435374149659863945578231
1.001	0.05442176870748299319727891156462585
1.003	0.04081632653061224489795918367346939
1.005	0.04081632653061224489795918367346939
1.007	0.006802721088435374149659863945578231
1.009	0.06122448979591836734693877551020408
1.011	0.006802721088435374149659863945578231
1.013	0.08843537414965986394557823129251701
1.015	0.1156462585034013605442176870748299
1.017	0.02721088435374149659863945578231293
1.019	0.01360544217687074829931972789115646
1.021	0.006802721088435374149659863945578231
1.023	0.1156462585034013605442176870748299
1.025	0
1.027	0
1.029	0.006802721088435374149659863945578231
1.031	0.05442176870748299319727891156462585
1.033	0
1.035	0
1.037	0
1.039	0
1.041	0.04761904761904761904761904761904762
